"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 02 09:43:33 UTC 2026","Thu Jul 02 09:43:48 UTC 2026","14848","testcases","test_order","TestOrder","","","test_order","登录后搜索计划编号，验证查询结果包含关键字"
"passed","Thu Jul 02 09:43:21 UTC 2026","Thu Jul 02 09:43:33 UTC 2026","11545","testcases","test_login","TestLogin","","","test_login[\u81ea\u52a8\u8bc6\u522b\u9a8c\u8bc1\u7801\u767b\u5f55]","自动识别验证码登录，失败则重试直到成功"
